house_id,xiaoqu,district,total_price,unit_price,house_type,floor,area,house_struct,in_area,building_type,direction,building_structure,fixture,elevator_ratio,elevator_exist,yearlimit,list_time,trade_type,last_tradetime,house_use,house_time,owner_attribute,mortage,property_status,villa_type,overall_floor
103102842125,金城尚珑海域,高区,1350000.0,14795.0,2室2厅1厨1卫,低楼层,91.25,平层,暂无数据,板楼,南北,钢混结构,精装,两梯四户,有,暂无数据,2018-09-05,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,26.0
103108651042,卧龙山庄,高区,765000.0,9859.0,3室1厅1厨1卫,高楼层,77.6,平层,暂无数据,板楼,南北,钢混结构,精装,一梯两户,无,暂无数据,2020-04-18,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,6.0
103108634669,金猴金色家园东区,高区,2400000.0,12632.0,3室3厅1厨1卫,高楼层,190.0,平层,暂无数据,板楼,南北,钢混结构,其他,一梯一户,暂无数据,暂无数据,2020-04-17,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,暂无数据,7.0
103108623512,泰乐家园,高区,738000.0,11182.0,1室2厅1厨1卫,中楼层,66.0,平层,暂无数据,塔楼,南北,框架结构,其他,两梯六户,有,暂无数据,2020-04-16,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,暂无数据,32.0
103108589444,山水园,高区,1238000.0,10860.0,3室2厅1厨2卫,高楼层,114.0,平层,暂无数据,板楼,南北,混合结构,其他,一梯两户,无,暂无数据,2020-04-15,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,暂无数据,6.0
103108623389,西文化生活区,高区,1100000.0,7875.0,3室2厅1厨1卫,高楼层,139.7,平层,暂无数据,板楼,南北,砖混结构,其他,一梯两户,无,暂无数据,2020-04-16,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,暂无数据,7.0
103108548632,西钦帝景文院,高区,1650000.0,9970.0,4室2厅1厨2卫,高楼层,165.5,平层,暂无数据,板楼,南北,框架结构,其他,两梯三户,有,暂无数据,2020-04-13,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,暂无数据,17.0
103108502065,潍坊路社区,高区,798000.0,10102.0,3室1厅1厨1卫,中楼层,79.0,平层,暂无数据,板楼,南北,砖混结构,其他,一梯两户,暂无数据,暂无数据,2020-04-10,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,暂无数据,7.0
103105653472,大地公寓,高区,260000.0,8125.0,1室1厅1厨1卫,中楼层,32.0,平层,暂无数据,板楼,南北,砖混结构,精装,一梯二十六户,无,暂无数据,2019-08-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,7.0
103105229305,古寨社区,高区,598000.0,9493.0,2室2厅1厨1卫,高楼层,63.0,平层,暂无数据,板楼,南北,砖混结构,简装,一梯三户,无,暂无数据,2019-07-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,7.0
103106265099,昌鸿小区,高区,598000.0,9610.0,2室1厅1厨1卫,高楼层,62.23,平层,暂无数据,板楼,南北,框架结构,简装,一梯两户,无,满五年,2019-09-23,商品房,2000-12-20,普通住宅,满五年,共有,无抵押,已上传房本照片,暂无数据,7.0
103107291774,80公馆,高区,1098000.0,13725.0,2室2厅1厨1卫,低楼层,80.0,平层,暂无数据,板楼,南北,钢混结构,简装,一梯三户,有,暂无数据,2019-12-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,18.0
103103875581,丽都华府,高区,1798000.0,15912.0,4室3厅1厨2卫,高楼层,113.0,平层,暂无数据,板楼,南北,框架结构,精装,一梯两户,无,暂无数据,2019-02-15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,6.0
103103878156,翠景园,高区,1350000.0,14674.0,2室2厅1厨1卫,低楼层,92.0,平层,暂无数据,板楼,南北,框架结构,精装,一梯两户,有,暂无数据,2019-02-15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,11.0
103103850964,印象汇,高区,1380000.0,15682.0,2室2厅1厨1卫,高楼层,88.0,平层,暂无数据,板楼,南北,框架结构,精装,一梯三户,无,暂无数据,2019-02-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,18.0
103103816329,怡心苑,高区,1380000.0,12106.0,3室2厅1厨1卫,中楼层,114.0,平层,暂无数据,板楼,南北,钢混结构,简装,一梯三户,有,暂无数据,2019-01-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,18.0
103103799569,文化西路,高区,728000.0,10492.0,2室1厅1厨1卫,高楼层,69.39,平层,暂无数据,板楼,南北,钢混结构,简装,一梯两户,无,未满两年,2019-01-20,商品房,2019-01-26,普通住宅,未满两年,非共有,无抵押,已上传房本照片,暂无数据,7.0
103107291857,80公馆,高区,918000.0,11475.0,2室2厅1厨1卫,中楼层,80.0,平层,暂无数据,板楼,南北,钢混结构,简装,一梯三户,有,暂无数据,2019-12-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,18.0
103103819926,昌鸿小区,高区,1100000.0,9188.0,3室2厅1厨2卫,高楼层,119.73,平层,暂无数据,板楼,南北,框架结构,精装,一梯两户,无,暂无数据,2019-01-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押30万元,未上传房本照片,暂无数据,6.0
103103782305,蓝天广场,高区,1170000.0,12188.0,3室1厅1厨1卫,中楼层,96.0,平层,暂无数据,板楼,南北,钢混结构,简装,一梯两户,无,暂无数据,2019-01-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,6.0
